3000,"MELBOURNE","VIC","CITY DELIVERY CENTRE","Delivery Area                                ","-37.814563","144.970267"
3001,"MELBOURNE","VIC","CITY MAIL PROCESSING CENTRE","Post Office Boxes                            ","-38.365017","144.76592"
3002,"EAST MELBOURNE","VIC","CITY DELIVERY CENTRE","Delivery Area                                ","-37.81664","144.987811"
3003,"WEST MELBOURNE","VIC","CITY DELIVERY CENTRE","Delivery Area                                ","-37.806255","144.941123"
3004,"MELBOURNE","VIC","CITY DELIVERY CENTRE","Delivery Area                                ","-37.837324","144.976335"
3005,"WORLD TRADE CENTRE","VIC","CITY DELIVERY CENTRE","Delivery Area                                ","-37.822262","144.954856"
3006,"SOUTHBANK","VIC","SOUTH MELBOURNE DC","Delivery Area                                ","-37.823258","144.965926"
3008,"DOCKLANDS","VIC","CITY DELIVERY CENTRE","Delivery Area                                ","-37.814719","144.948039"
3010,"UNIVERSITY OF MELBOURNE","VIC","CARLTON DC","Delivery Area                                ","-37.796152","144.961351"
3011,"FOOTSCRAY","VIC","WEST FOOTSCRAY DC","Delivery Area                                ","-37.79977","144.899587"
3011,"SEDDON","VIC","WEST FOOTSCRAY DC","Delivery Area                                ","-37.808769","144.895486"
3011,"SEDDON WEST","VIC","WEST FOOTSCRAY DC","Delivery Area                                ","-37.795059","144.866197"
3012,"BROOKLYN","VIC","WEST FOOTSCRAY DC","Delivery Area                                ","-37.814624","144.847108"
3012,"KINGSVILLE","VIC","WEST FOOTSCRAY DC","Delivery Area                                ","-37.812635","144.881803"
3012,"KINGSVILLE WEST","VIC","WEST FOOTSCRAY DC","Delivery Area                                ","-37.795059","144.866197"
3012,"MAIDSTONE","VIC","WEST FOOTSCRAY DC","Delivery Area                                ","-37.782096","144.874299"
3012,"TOTTENHAM","VIC","WEST FOOTSCRAY DC","Delivery Area                                ","-37.799065","144.857829"
3012,"WEST FOOTSCRAY","VIC","WEST FOOTSCRAY DC","Delivery Area                                ","-37.797701","144.879924"
3013,"YARRAVILLE","VIC","WEST FOOTSCRAY DC","Delivery Area                                ","-37.816178","144.889774"
3013,"YARRAVILLE WEST","VIC","WEST FOOTSCRAY DC","Delivery Area                                ","-37.818019","144.883582"
3015,"NEWPORT","VIC","NEWPORT DC","Delivery Area                                ","-37.842477","144.883145"
3015,"SOUTH KINGSVILLE","VIC","NEWPORT DC","Delivery Area                                ","-37.833627","144.870742"
3015,"SPOTSWOOD","VIC","NEWPORT DC","Delivery Area                                ","-37.82967","144.885078"
3016,"WILLIAMSTOWN","VIC","NEWPORT DC","Delivery Area                                ","-37.856902","144.897698"
3016,"WILLIAMSTOWN NORTH","VIC","NEWPORT DC","Delivery Area                                ","-37.857681","144.887041"
3018,"ALTONA","VIC","NEWPORT DC","Delivery Area                                ","-37.869275","144.830286"
3018,"SEAHOLME","VIC","NEWPORT DC","Delivery Area                                ","-37.867992","144.843609"
3019,"BRAYBROOK","VIC","WEST FOOTSCRAY DC","Delivery Area                                ","-37.779309","144.855359"
3019,"BRAYBROOK NORTH","VIC","WEST FOOTSCRAY DC","Delivery Area                                ","-37.84536","144.894555"
3019,"ROBINSON","VIC","WEST FOOTSCRAY DC","Delivery Area                                ","-37.834094","145.040941"
3020,"ALBION","VIC","SUNSHINE DC","Delivery Area                                ","-37.775954","144.819395"
3020,"GLENGALA","VIC","SUNSHINE DC","Delivery Area                                ","-37.788346","144.809505"
3020,"SUNSHINE NORTH","VIC","SUNSHINE DC","Delivery Area                                ","-37.768904","144.830258"
3020,"SUNSHINE WEST","VIC","SUNSHINE DC","Delivery Area                                ","-37.79983","144.81845"
3021,"ALBANVALE","VIC","ST ALBANS DC","Delivery Area                                ","-37.745934","144.770027"
3021,"KEALBA","VIC","ST ALBANS DC","Delivery Area                                ","-37.742331","144.825918"
3021,"KINGS PARK","VIC","ST ALBANS DC","Delivery Area                                ","-37.734277","144.780872"
3021,"ST ALBANS","VIC","ST ALBANS DC","Delivery Area                                ","-37.745063","144.799626"
3022,"ARDEER","VIC","SUNSHINE DC","Delivery Area                                ","-37.78292","144.801018"
3022,"DEER PARK EAST","VIC","SUNSHINE DC","Delivery Area                                ","-37.740815","144.797867"
3023,"BURNSIDE","VIC","SUNSHINE DC","Delivery Area                                ","-37.753381","144.752618"
3023,"BURNSIDE HEIGHTS","VIC","SUNSHINE DC","Delivery Area                                ","-37.771039","144.772248"
3023,"CAIRNLEA","VIC","SUNSHINE DC","Delivery Area                                ","-37.762076","144.754169"
3023,"CAROLINE SPRINGS","VIC","SUNSHINE DC","Delivery Area                                ","-37.74124","144.736311"
3023,"DEER PARK","VIC","SUNSHINE DC","Delivery Area                                ","-37.770312","144.77472"
3023,"DEER PARK NORTH","VIC","SUNSHINE DC","Delivery Area                                ","-37.744466","144.751767"
3023,"RAVENHALL","VIC","SUNSHINE DC","Delivery Area                                ","-37.766501","144.738709"
3024,"MAMBOURIN","VIC","HOPPERS CROSSING DEL CENTRE","Delivery Area                                ","-37.899873","144.556552"
3024,"MOUNT COTTRELL","VIC","HOPPERS CROSSING DEL CENTRE","Delivery Area                                ","-37.76516","144.609501"
3024,"WYNDHAM VALE","VIC","HOPPERS CROSSING DEL CENTRE","Delivery Area                                ","-37.891641","144.629467"
3025,"ALTONA EAST","VIC","NEWPORT DC","Delivery Area                                ","-37.835657","144.85995"
3025,"ALTONA GATE","VIC","NEWPORT DC","Delivery Area                                ","-37.825297","144.842988"
3025,"ALTONA NORTH","VIC","NEWPORT DC","Delivery Area                                ","-37.842879","144.850049"
3026,"LAVERTON NORTH","VIC","HOPPERS CROSSING DEL CENTRE","Delivery Area                                ","-37.841653","144.795959"
3027,"LAVERTON RAAF","VIC","HOPPERS CROSSING DEL CENTRE","Delivery Area                                ","-37.859941","144.760517"
3028,"ALTONA MEADOWS","VIC","HOPPERS CROSSING DEL CENTRE","Delivery Area                                ","-37.871632","144.778084"
3028,"LAVERTON","VIC","HOPPERS CROSSING DEL CENTRE","Delivery Area                                ","-37.866939","144.761748"
3028,"SEABROOK","VIC","HOPPERS CROSSING DEL CENTRE","Delivery Area                                ","-37.877626","144.75777"
3029,"HOPPERS CROSSING","VIC","HOPPERS CROSSING DEL CENTRE","Delivery Area                                ","-37.882636","144.700297"
3029,"TARNEIT","VIC","HOPPERS CROSSING DEL CENTRE","Delivery Area                                ","-37.823738","144.692893"
3029,"TRUGANINA","VIC","HOPPERS CROSSING DEL CENTRE","Delivery Area                                ","-37.825004","144.748931"
3030,"COCOROC","VIC","HOPPERS CROSSING DEL CENTRE","Delivery Area                                ","-37.969994","144.582987"
3030,"DERRIMUT","VIC","HOPPERS CROSSING DEL CENTRE","Delivery Area                                ","-37.797549","144.771097"
3030,"POINT COOK","VIC","HOPPERS CROSSING DEL CENTRE","Delivery Area                                ","-37.914616","144.751038"
3030,"QUANDONG","VIC","HOPPERS CROSSING DEL CENTRE","Delivery Area                                ","-37.838725","144.554915"
3030,"WERRIBEE","VIC","HOPPERS CROSSING DEL CENTRE","Delivery Area                                ","-37.903337","144.657731"
3030,"WERRIBEE SOUTH","VIC","HOPPERS CROSSING DEL CENTRE","Delivery Area                                ","-37.903337","144.657731"
3031,"FLEMINGTON","VIC","MOONEE PONDS DC","Delivery Area                                ","-37.788375","144.931472"
3031,"KENSINGTON","VIC","MOONEE PONDS DC","Delivery Area                                ","-37.794333","144.929217"
3032,"ASCOT VALE","VIC","MOONEE PONDS DC","Delivery Area                                ","-37.77583","144.923377"
3032,"HIGHPOINT CITY","VIC","MOONEE PONDS DC","Delivery Area                                ","-37.773272","144.888794"
3032,"MARIBYRNONG","VIC","MOONEE PONDS DC","Delivery Area                                ","-37.772229","144.886116"
3032,"TRAVANCORE","VIC","MOONEE PONDS DC","Delivery Area                                ","-37.777773","144.929915"
3033,"KEILOR EAST","VIC","NIDDRIE DC","Delivery Area                                ","-37.736264","144.796336"
3034,"AVONDALE HEIGHTS","VIC","NIDDRIE DC","Delivery Area                                ","-37.742284","144.81515"
3036,"KEILOR","VIC","NIDDRIE DC","Delivery Area                                ","-37.718965","144.834166"
3036,"KEILOR NORTH","VIC","NIDDRIE DC","Delivery Area                                ","-37.704771","144.814229"
3037,"DELAHEY","VIC","ST ALBANS DC","Delivery Area                                ","-37.715579","144.780474"
3037,"HILLSIDE","VIC","ST ALBANS DC","Delivery Area                                ","-37.691437","144.74002"
3037,"SYDENHAM","VIC","ST ALBANS DC","Delivery Area                                ","-37.70004","144.764617"
3037,"TAYLORS HILL","VIC","ST ALBANS DC","Delivery Area                                ","-37.710381","144.766791"
3038,"KEILOR DOWNS","VIC","ST ALBANS DC","Delivery Area                                ","-37.725726","144.811346"
3038,"KEILOR LODGE","VIC","ST ALBANS DC","Delivery Area                                ","-37.695768","144.797032"
3038,"TAYLORS LAKES","VIC","ST ALBANS DC","Delivery Area                                ","-37.698758","144.78766"
3038,"WATERGARDENS","VIC","ST ALBANS DC","Delivery Area                                ","-37.698952","144.777576"
3039,"MOONEE PONDS","VIC","MOONEE PONDS DC","Delivery Area                                ","-37.765707","144.919163"
